round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
53,27,0,0,2,1,0,7,1,-84.5,0.2312
54,33,0,0,2,1,0,5,1,-71.7,0.23
55,92,0,0,2,1,0,9,1,-88.8,0.2289
56,144,1,1,12,3,0,18,1,-83.4,0.2277
57,60,0,0,3,2,0,15,1,-92.1,0.2266
58,286,2,2,13,5,0,37,1,-143.8,0.2254
59,157,5,5,14,4,0,13,1,-34.9,0.2243
60,32,0,0,3,1,0,3,1,-65.8,0.2232
61,23,0,0,4,1,0,3,1,-65.3,0.2221
62,61,1,1,4,2,0,10,1,-69.0,0.221
63,227,2,2,7,2,0,27,1,-118.7,0.2199
64,80,0,0,2,2,0,11,1,-83.5,0.2188
65,400,2,2,11,7,0,53,0,-159.0,0.2177
66,56,3,3,7,2,0,3,1,-34.9,0.2166
67,145,1,1,6,2,0,16,1,-102.3,0.2155
68,212,1,1,4,2,0,18,1,-110.9,0.2144
69,63,0,0,3,2,0,6,1,-65.1,0.2133
70,103,0,0,3,1,0,16,1,-126.7,0.2123
71,36,0,0,3,1,0,7,1,-77.8,0.2112
72,211,0,0,3,1,0,28,1,-158.0,0.2102
73,43,0,0,3,1,0,6,1,-74.7,0.2091
74,64,0,0,5,1,0,9,1,-76.8,0.2081
75,37,0,0,4,1,0,6,1,-72.9,0.207
76,180,2,2,4,2,0,16,1,-81.1,0.206
77,95,0,0,4,1,0,10,1,-90.5,0.205
78,71,0,0,4,1,0,9,1,-85.4,0.2039
79,107,1,1,5,2,0,15,1,-81.3,0.2029
80,65,0,0,2,1,0,9,1,-85.2,0.2019
81,52,1,1,3,2,0,7,1,-64.6,0.2009
82,10,0,0,2,1,0,3,1,-65.2,0.1999
83,136,0,0,3,1,0,8,1,-88.1,0.1989
84,103,0,0,9,3,0,10,1,-69.2,0.1979
85,11,0,0,3,1,0,2,1,-61.3,0.1969
86,180,0,0,3,2,0,28,1,-131.2,0.1959
87,220,2,2,10,4,0,17,1,-85.7,0.1949
88,45,0,0,4,1,0,5,1,-72.3,0.194
89,381,6,6,15,4,0,43,1,-130.8,0.193
90,400,4,4,8,7,0,34,0,-66.4,0.192
91,377,0,0,4,2,0,43,1,-202.2,0.1911
92,309,0,0,5,2,0,34,1,-168.6,0.1901
93,162,0,0,3,1,0,18,1,-118.9,0.1892
94,101,0,0,7,2,0,20,1,-107.5,0.1882
95,174,1,1,6,2,0,15,1,-92.5,0.1873
96,318,3,3,12,5,0,34,1,-122.9,0.1863
97,118,0,0,4,1,0,11,1,-107.4,0.1854
98,65,3,3,9,4,0,7,1,-27.2,0.1845
99,212,7,7,16,4,0,23,1,-53.6,0.1836
100,66,3,3,6,2,0,10,1,-54.2,0.1826
101,17,0,0,3,1,0,3,1,-64.1,0.1817
102,235,1,1,10,6,0,23,1,-115.5,0.1808
103,80,0,0,4,1,0,8,1,-84.8,0.1799
104,98,1,1,8,2,0,10,1,-67.1,0.179
105,41,1,1,4,3,0,10,1,-67.1,0.1781
106,12,0,0,4,1,0,4,1,-68.2,0.1772
107,6,0,0,2,1,0,3,1,-58.5,0.1763
108,371,4,4,7,3,0,29,1,-109.5,0.1755
109,68,0,0,2,1,0,6,1,-77.5,0.1746
110,194,1,1,11,4,0,19,1,-88.7,0.1737
111,85,0,0,2,1,0,9,1,-89.9,0.1728
112,230,0,0,6,3,0,18,1,-116.9,0.172
113,400,7,7,14,9,0,30,0,-25.8,0.1711
114,64,0,0,4,1,0,8,1,-82.1,0.1703
115,400,6,6,14,7,0,27,0,-38.7,0.1694
116,75,0,0,5,1,0,4,1,-61.5,0.1686
117,400,6,6,12,5,0,29,0,-50.9,0.1677
118,126,1,1,3,2,0,7,1,-67.9,0.1669
119,39,0,0,4,1,0,0,1,-57.7,0.1661
120,238,0,0,3,1,0,17,1,-120.7,0.1652
121,113,2,2,6,2,0,14,1,-76.7,0.1644
122,15,0,0,3,1,0,2,1,-61.6,0.1636
123,157,0,0,5,2,0,10,1,-86.5,0.1628
124,38,0,0,4,1,0,5,1,-71.5,0.1619
125,138,2,2,6,2,0,13,1,-74.9,0.1611
126,102,0,0,2,1,0,2,1,-69.8,0.1603
127,116,2,2,6,2,0,11,1,-67.3,0.1595
128,66,2,2,7,3,0,8,1,-50.4,0.1587
129,47,1,1,2,2,0,9,1,-68.3,0.1579
130,8,0,0,5,1,0,1,1,-44.1,0.1571
131,400,7,7,19,5,0,28,0,-11.7,0.1564
132,140,1,1,7,2,0,15,1,-76.7,0.1556
133,55,0,0,3,1,0,4,1,-73.7,0.1548
134,204,4,4,7,2,0,20,1,-84.3,0.154
135,263,0,0,4,1,0,16,1,-116.6,0.1533
136,123,1,1,8,2,0,13,1,-75.8,0.1525
137,400,2,2,5,5,0,18,0,-42.6,0.1517
138,68,0,0,2,1,0,10,1,-88.7,0.151
139,84,0,0,5,2,0,7,1,-67.6,0.1502
140,51,0,0,4,1,0,5,1,-74.0,0.1495
141,400,0,0,4,6,0,30,0,-118.6,0.1487
142,38,0,0,4,1,0,4,1,-66.6,0.148
143,400,4,4,6,3,0,38,0,-83.6,0.1472
144,67,0,0,4,1,0,8,1,-74.3,0.1465
145,135,1,1,8,2,0,9,1,-79.3,0.1458
146,354,0,0,6,4,0,20,1,-115.3,0.145
147,85,0,0,3,1,0,11,1,-91.4,0.1443
148,41,0,0,4,2,0,4,1,-56.9,0.1436
149,48,0,0,3,1,0,3,1,-67.1,0.1429
150,58,0,0,3,1,0,5,1,-72.0,0.1422
151,24,0,0,2,1,0,4,1,-70.3,0.1414
152,222,2,2,9,3,0,13,1,-67.1,0.1407
153,366,6,6,20,6,0,35,1,-96.7,0.14
154,36,0,0,3,1,0,4,1,-69.9,0.1393
155,280,2,2,3,3,0,18,1,-94.6,0.1386
156,219,3,3,11,4,0,22,1,-75.7,0.1379
157,55,0,0,2,1,0,4,1,-71.3,0.1373
158,189,1,1,3,2,0,20,1,-105.9,0.1366
159,9,0,0,4,1,0,2,1,-60.7,0.1359
160,127,0,0,2,1,0,13,1,-103.9,0.1352
161,51,1,1,4,2,0,7,1,-60.0,0.1345
162,5,0,0,3,1,0,2,1,-61.5,0.1339
163,15,0,0,5,1,0,2,1,-52.0,0.1332
164,136,1,1,7,2,0,9,1,-71.1,0.1325
165,278,0,0,4,1,0,25,1,-144.3,0.1319
166,367,0,0,7,2,0,20,1,-107.5,0.1312
167,83,0,0,7,2,0,11,1,-76.1,0.1305
168,309,0,0,3,4,0,12,1,-114.6,0.1299
169,36,0,0,4,2,0,10,1,-74.0,0.1292
170,76,0,0,2,1,0,4,1,-72.8,0.1286
171,157,2,2,8,2,0,9,1,-59.0,0.128
172,16,0,0,4,1,0,3,1,-64.0,0.1273
173,36,0,0,4,1,0,4,1,-58.1,0.1267
174,13,0,0,4,1,0,0,1,-57.4,0.126
175,32,0,0,4,1,0,2,1,-62.8,0.1254
176,9,0,0,3,1,0,3,1,-63.2,0.1248
177,161,1,1,3,3,0,15,1,-84.1,0.1242
178,111,2,2,6,3,0,9,1,-55.9,0.1235
179,341,3,3,13,4,0,21,1,-77.6,0.1229
180,56,0,0,4,1,0,7,1,-76.8,0.1223
181,358,3,3,18,5,0,17,1,-47.8,0.1217
182,400,0,0,3,2,0,23,0,-80.4,0.1211
183,44,0,0,3,1,0,4,1,-70.3,0.1205
184,24,1,1,4,2,0,2,1,-43.0,0.1199
