round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
4311,7,0,0,5,1,0,0,1,-42.8,0.05
4312,27,0,0,16,4,0,4,1,-30.8,0.05
4313,27,0,0,9,4,0,3,1,-36.0,0.05
4314,400,1,1,33,46,0,16,0,145.2,0.05
4315,23,1,1,9,3,0,2,1,-27.7,0.05
4316,400,4,4,24,47,0,21,0,221.1,0.05
4317,51,0,0,8,4,0,2,1,-36.8,0.05
4318,35,1,1,13,5,0,4,1,-25.4,0.05
4319,113,3,3,26,13,0,8,0,42.5,0.05
4320,36,2,2,15,5,0,1,1,-2.5,0.05
4321,54,0,0,14,7,0,5,1,-16.4,0.05
4322,14,1,1,7,2,0,3,1,-41.5,0.05
4323,41,1,1,15,6,0,0,1,0.4,0.05
4324,400,3,3,38,44,0,6,0,218.1,0.05
4325,20,1,1,12,3,0,2,1,-22.3,0.05
4326,42,0,0,17,5,0,1,1,-7.5,0.05
4327,235,1,1,25,27,0,8,1,79.5,0.05
4328,161,2,2,25,13,0,4,1,57.5,0.05
4329,349,1,1,28,29,0,14,1,73.1,0.05
4330,104,5,0,21,13,1,3,1,58.7,0.05
4331,49,1,1,24,7,0,2,1,12.1,0.05
4332,400,1,1,32,36,0,12,0,70.3,0.05
4333,20,1,1,11,3,0,1,1,-22.0,0.05
4334,53,0,0,15,6,0,3,1,-19.2,0.05
4335,43,0,0,9,4,0,2,1,-23.3,0.05
4336,67,1,1,23,9,0,3,1,28.8,0.05
4337,65,2,2,26,8,0,2,1,29.4,0.05
4338,50,0,0,21,7,0,2,1,-3.4,0.05
4339,108,1,1,34,14,0,3,1,50.2,0.05
