round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
1312,400,7,7,12,4,0,8,0,18.4,0.05
1313,400,2,2,3,1,0,14,0,-40.4,0.05
1314,122,0,0,2,1,0,6,1,-78.6,0.05
1315,112,0,0,3,1,0,3,1,-64.1,0.05
1316,400,1,1,2,1,0,14,0,-42.4,0.05
1317,69,0,0,1,1,0,3,1,-69.1,0.05
1318,400,1,1,1,1,0,11,0,-43.9,0.05
1319,400,0,0,2,1,0,7,0,-26.7,0.05
1320,19,1,1,3,2,0,5,1,-48.8,0.05
1321,400,2,2,2,3,0,12,0,-18.5,0.05
1322,13,0,0,3,1,0,3,1,-63.9,0.05
1323,69,0,0,2,2,0,7,1,-70.2,0.05
1324,400,0,0,0,1,0,10,0,-31.0,0.05
1325,9,0,0,2,1,0,2,1,-63.2,0.05
1326,275,0,0,3,1,0,9,1,-96.9,0.05
1327,183,0,0,4,1,0,5,1,-79.2,0.05
1328,110,2,2,6,3,0,6,1,-41.4,0.05
1329,400,0,0,0,0,0,6,0,-34.7,0.05
1330,323,0,0,4,1,0,10,1,-101.4,0.05
1331,400,2,2,6,2,0,11,0,-15.8,0.05
1332,51,0,0,4,1,0,3,1,-64.3,0.05
1333,400,0,0,0,0,0,9,0,-47.0,0.05
1334,183,1,1,6,2,0,9,1,-66.2,0.05
1335,265,4,4,9,2,0,7,1,-32.3,0.05
1336,400,2,2,2,1,0,8,0,-8.6,0.05
1337,400,1,1,2,1,0,10,0,-24.6,0.05
1338,94,0,0,2,1,0,4,1,-74.3,0.05
1339,400,2,2,7,3,0,13,0,-20.4,0.05
1340,400,0,0,0,0,0,9,0,-44.5,0.05
1341,400,1,1,2,1,0,7,0,-25.6,0.05
1342,400,2,2,5,3,0,10,0,-12.0,0.05
1343,400,1,1,2,1,0,15,0,-39.7,0.05
1344,51,0,0,4,1,0,3,1,-64.8,0.05
1345,400,0,0,1,1,0,8,0,-42.7,0.05
1346,400,0,0,0,0,0,15,0,-45.8,0.05
1347,400,0,0,4,3,0,20,0,-52.5,0.05
1348,400,5,5,14,5,0,17,0,12.5,0.05
1349,400,0,0,0,0,0,14,0,-60.8,0.05
1350,400,1,1,3,1,0,15,0,-49.6,0.05
1351,204,0,0,3,1,0,8,1,-79.7,0.05
1352,400,2,2,3,2,0,2,0,-3.5,0.05
1353,400,1,1,1,1,0,16,0,-36.6,0.05
1354,44,0,0,3,1,0,4,1,-68.9,0.05
1355,66,0,0,3,1,0,2,1,-65.0,0.05
1356,400,4,4,9,8,0,13,0,7.7,0.05
1357,147,0,0,3,1,0,6,1,-79.9,0.05
1358,79,0,0,2,2,0,10,1,-77.5,0.05
1359,241,0,0,4,1,0,5,1,-79.7,0.05
1360,400,0,0,3,2,0,6,0,-24.8,0.05
1361,400,2,2,3,1,0,15,0,-39.9,0.05
1362,400,0,0,0,0,0,5,0,-32.7,0.05
1363,270,1,1,4,2,0,7,1,-70.7,0.05
1364,400,2,2,4,2,0,7,0,-0.0,0.05
1365,400,1,1,4,2,0,18,0,-48.4,0.05
1366,400,0,0,0,0,0,8,0,-33.9,0.05
1367,158,0,0,3,1,0,6,1,-71.6,0.05
1368,400,1,1,2,1,0,13,0,-41.4,0.05
1369,400,0,0,1,1,0,17,0,-45.4,0.05
1370,124,1,1,5,2,0,6,1,-60.8,0.05
1371,400,0,0,3,2,0,12,0,-31.0,0.05
1372,400,5,5,16,4,0,12,0,22.7,0.05
1373,37,0,0,3,1,0,2,1,-60.5,0.05
1374,400,0,0,0,0,0,8,0,-42.1,0.05
1375,21,0,0,4,1,0,3,1,-63.8,0.05
1376,400,1,1,4,4,0,17,0,-47.8,0.05
1377,36,0,0,2,1,0,4,1,-68.5,0.05
1378,64,0,0,3,1,0,1,1,-60.8,0.05
1379,400,0,0,3,2,0,11,0,-38.1,0.05
1380,26,0,0,3,1,0,4,1,-67.0,0.05
1381,77,0,0,3,1,0,4,1,-71.0,0.05
1382,400,3,3,7,4,0,13,0,-8.2,0.05
1383,400,3,3,8,3,0,6,0,1.7,0.05
1384,400,3,3,5,8,0,14,0,-19.0,0.05
1385,400,1,1,3,3,0,20,0,-53.0,0.05
1386,388,0,0,3,1,0,16,1,-121.2,0.05
1387,344,0,0,4,1,0,17,1,-121.7,0.05
1388,400,0,0,2,1,0,8,0,-40.8,0.05
1389,400,1,1,2,2,0,12,0,-38.9,0.05
1390,400,1,1,3,1,0,10,0,-35.1,0.05
1391,400,4,4,11,4,0,8,0,4.7,0.05
1392,72,0,0,4,1,0,4,1,-68.3,0.05
1393,199,0,0,3,2,0,5,1,-70.7,0.05
1394,400,0,0,0,0,0,6,0,-35.3,0.05
1395,400,1,1,1,2,0,19,0,-57.8,0.05
1396,400,1,1,10,3,0,11,0,-23.5,0.05
1397,177,1,1,4,2,0,8,1,-70.1,0.05
1398,77,1,1,6,3,0,10,1,-64.6,0.05
1399,400,0,0,0,0,0,3,0,-28.7,0.05
1400,176,0,0,4,1,0,5,1,-78.4,0.05
1401,69,0,0,2,1,0,3,1,-64.6,0.05
1402,400,1,1,1,1,0,10,0,-14.8,0.05
